Impressão de campos da consulta;;;;;;;;Página: 1;

3756;;Pagamento de Dominio ref.;;Não;
3757;;Pagamento de parcelamento de impostos federais ref.;;Não;
3758;;Pagamento de parcelamento de impostos municipais ref.;;Não;
3759;;Pagamento de IPVA ref.;;Não;
3761;;Pagamento de Despesas com Farmácia ref.;;Não;
3760;;Pagamento de Aluguel de Equipamentos ref.;;Não;
3763;;Pagamento de Plantas e Flores ref.;;Não;
3762;;Pagamento de Repasse a Cliente Ref.;;Não;
3764;;Pagamento de Impressão de Materiais ref.;;Não;
3765;;Pagamento de serviços tomados autônomo ref.;;Não;
3766;;Pagamento de bens do ativo imobilizado ref.;;Não;
3767;;Compras de materiais para copa e cozinha ref.;;Não;
3768;;Receita Com Variação Monetária ref.;;Não;
3769;;Compensação de Impostos Federais ref.;;Não;
3770;;Compensação de Impostos Municipais ref.;;Não;
3771;;Restituição de Impostos Federais ref.;;Não;
3772;;Restituição de Impostos Municipais ref.;;Não;
3773;;Pagamento de Juros Sobre Impostos ref.;;Não;
3774;;Pagamento de Multas Sobre Impostos ref.;;Não;
3775;;Perdas com Aplicação Financeira no mês;;Não;
3776;;Recebimento de Caução ref.;;Não;
3777;;Pagamento de Multa de Trânsito ref.;;Não;
3778;;Pagamento de Licenciamento de Veículo ref.;;Não;
